timestamp,event,detail
01-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
01-06-2026 09:12:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
01-06-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
01-06-2026 14:08:00,COMPRESSOR_OFF,coolroom=1.7 setpoint=2.0 diff=1.0
01-06-2026 03:00:00,DEFROST_START,scheduled
01-06-2026 03:25:00,DEFROST_END,terminate_temp
01-06-2026 11:00:00,DOOR_ALARM,open>delay
01-06-2026 11:02:00,DOOR_ALARM_CLEAR,door closed
02-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
02-06-2026 09:12:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
02-06-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
02-06-2026 14:08:00,COMPRESSOR_OFF,coolroom=1.7 setpoint=2.0 diff=1.0
03-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
03-06-2026 09:12:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
03-06-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
03-06-2026 14:08:00,COMPRESSOR_OFF,coolroom=1.7 setpoint=2.0 diff=1.0
04-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
04-06-2026 09:12:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
04-06-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
04-06-2026 14:08:00,COMPRESSOR_OFF,coolroom=1.7 setpoint=2.0 diff=1.0
04-06-2026 03:00:00,DEFROST_START,scheduled
04-06-2026 03:25:00,DEFROST_END,terminate_temp
05-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
05-06-2026 09:12:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
05-06-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
05-06-2026 14:08:00,COMPRESSOR_OFF,coolroom=1.7 setpoint=2.0 diff=1.0
06-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
06-06-2026 09:12:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
06-06-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
06-06-2026 14:08:00,COMPRESSOR_OFF,coolroom=1.7 setpoint=2.0 diff=1.0
06-06-2026 16:00:00,ALARM_HI,coolroom=5.1
06-06-2026 16:08:00,ALARM_HI_CLEAR,coolroom=3.2
07-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
07-06-2026 09:12:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
07-06-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
07-06-2026 14:08:00,COMPRESSOR_OFF,coolroom=1.7 setpoint=2.0 diff=1.0
07-06-2026 03:00:00,DEFROST_START,scheduled
07-06-2026 03:25:00,DEFROST_END,terminate_temp
08-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
08-06-2026 09:12:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
08-06-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
08-06-2026 14:08:00,COMPRESSOR_OFF,coolroom=1.7 setpoint=2.0 diff=1.0
08-06-2026 11:00:00,DOOR_ALARM,open>delay
08-06-2026 11:02:00,DOOR_ALARM_CLEAR,door closed
09-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
09-06-2026 09:12:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
09-06-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
09-06-2026 14:08:00,COMPRESSOR_OFF,coolroom=1.7 setpoint=2.0 diff=1.0
10-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
10-06-2026 09:12:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
10-06-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
10-06-2026 14:08:00,COMPRESSOR_OFF,coolroom=1.7 setpoint=2.0 diff=1.0
10-06-2026 03:00:00,DEFROST_START,scheduled
10-06-2026 03:25:00,DEFROST_END,terminate_temp
11-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
11-06-2026 09:12:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
11-06-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
11-06-2026 14:08:00,COMPRESSOR_OFF,coolroom=1.7 setpoint=2.0 diff=1.0
12-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
12-06-2026 09:12:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
12-06-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
12-06-2026 14:08:00,COMPRESSOR_OFF,coolroom=1.7 setpoint=2.0 diff=1.0
