timestamp,coolroom_c,evap_c,ambient_c,setpoint_c,compressor,defrost,alarm_hi,alarm_lo,probe_fault
18-01-2026 00:00:00,1.9,-2.5,37.6,2.0,0,0,0,0,0
18-01-2026 02:00:00,1.9,-2.5,37.6,2.0,0,0,0,0,0
18-01-2026 04:00:00,1.9,-2.5,37.6,2.0,0,0,0,0,0
18-01-2026 06:00:00,1.9,-2.5,37.6,2.0,0,0,0,0,0
18-01-2026 08:00:00,1.9,-2.5,37.6,2.0,0,0,0,0,0
18-01-2026 10:00:00,2.4,-2.5,37.6,2.0,1,0,0,0,0
18-01-2026 12:00:00,2.4,-2.5,37.6,2.0,1,0,0,0,0
18-01-2026 14:00:00,2.4,-2.5,37.6,2.0,1,0,0,0,0
18-01-2026 16:00:00,2.4,-2.5,37.6,2.0,1,0,0,0,0
18-01-2026 18:00:00,1.9,-2.5,37.6,2.0,0,0,0,0,0
18-01-2026 20:00:00,1.9,-2.5,37.6,2.0,0,0,0,0,0
18-01-2026 22:00:00,1.9,-2.5,37.6,2.0,0,0,0,0,0
