timestamp,event,detail
05-01-2026 08:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
05-01-2026 08:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
05-01-2026 11:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
05-01-2026 11:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
05-01-2026 03:00:00,DEFROST_START,scheduled
05-01-2026 03:25:00,DEFROST_END,terminate_temp
06-01-2026 08:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
06-01-2026 08:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
06-01-2026 11:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
06-01-2026 11:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
07-01-2026 08:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
07-01-2026 08:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
07-01-2026 11:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
07-01-2026 11:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
08-01-2026 08:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
08-01-2026 08:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
08-01-2026 11:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
08-01-2026 11:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
08-01-2026 03:00:00,DEFROST_START,scheduled
08-01-2026 03:25:00,DEFROST_END,terminate_temp
09-01-2026 08:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
09-01-2026 08:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
09-01-2026 11:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
09-01-2026 11:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
10-01-2026 08:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
10-01-2026 08:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
10-01-2026 11:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
10-01-2026 11:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
11-01-2026 08:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
11-01-2026 08:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
11-01-2026 11:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
11-01-2026 11:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
11-01-2026 03:00:00,DEFROST_START,scheduled
11-01-2026 03:25:00,DEFROST_END,terminate_temp
12-01-2026 08:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
12-01-2026 08:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
12-01-2026 11:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
12-01-2026 11:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
12-01-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
12-01-2026 14:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
12-01-2026 17:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
12-01-2026 17:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
13-01-2026 08:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
13-01-2026 08:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
13-01-2026 11:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
13-01-2026 11:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
13-01-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
13-01-2026 14:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
13-01-2026 17:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
13-01-2026 17:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
14-01-2026 08:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
14-01-2026 08:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
14-01-2026 11:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
14-01-2026 11:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
14-01-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
14-01-2026 14:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
14-01-2026 17:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
14-01-2026 17:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
14-01-2026 03:00:00,DEFROST_START,scheduled
14-01-2026 03:25:00,DEFROST_END,terminate_temp
15-01-2026 08:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
15-01-2026 08:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
15-01-2026 11:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
15-01-2026 11:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
15-01-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
15-01-2026 14:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
15-01-2026 17:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
15-01-2026 17:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
16-01-2026 08:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
16-01-2026 08:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
16-01-2026 11:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
16-01-2026 11:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
16-01-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
16-01-2026 14:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
16-01-2026 17:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
16-01-2026 17:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
17-01-2026 08:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
17-01-2026 08:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
17-01-2026 11:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
17-01-2026 11:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
17-01-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
17-01-2026 14:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
17-01-2026 17:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
17-01-2026 17:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
17-01-2026 03:00:00,DEFROST_START,scheduled
17-01-2026 03:25:00,DEFROST_END,terminate_temp
18-01-2026 08:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
18-01-2026 08:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
18-01-2026 11:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
18-01-2026 11:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
18-01-2026 14:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
18-01-2026 14:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
18-01-2026 17:00:00,COMPRESSOR_ON,coolroom=2.5 setpoint=2.0 diff=1.0
18-01-2026 17:14:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
