timestamp,event,detail
01-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
01-06-2026 09:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
02-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
02-06-2026 09:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
03-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
03-06-2026 09:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
04-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
04-06-2026 09:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
05-06-2026 09:00:00,COMPRESSOR_ON,coolroom=2.4 setpoint=2.0 diff=1.0
05-06-2026 09:10:00,COMPRESSOR_OFF,coolroom=1.6 setpoint=2.0 diff=1.0
